#Frame,Id,X,Y
#Starting Sets
50;1;1103;100
50;1;1353;100
270;1;853;350
270;1;1103;350
270;1;1353;350
480;1;853;215
480;1;1103;215
480;1;1353;215
#Medusa Set
700;2;853;215
740;2;853;215
780;2;853;215
820;2;853;215
840;4;853;215
#Triangle Set
1100;1;853;50
1130;1;853;100
1160;1;853;150
1190;1;853;200
1220;1;853;250
1250;1;853;300
1280;1;853;350
1310;1;853;400
1340;1;853;350
1370;1;853;300
1400;1;853;250
1430;1;853;200
1460;1;853;150
1490;1;853;100
1520;1;853;50
#Hover Pair
1550;4;870;0
1550;4;870;430
1650;3;870;235
#Wall
1800;1;853;50
1800;1;853;100
1800;1;853;150
1800;1;853;200
1800;1;853;250
1800;1;853;300
1800;1;853;350
1800;1;853;400
#Hover Pair
2000;4;870;0
2000;4;870;430
2100;3;870;235
#Follow Set
2300;3;853;50
2300;3;853;370
#Heads + Hover
2550;2;870;95
2550;2;870;335
2550;4;870;215
